Brand,Dealer Name Thai,Location,Dealer Name Eng,Location,Tel,Map,Latitude,Longitude
HONDA,บริษัท 002 เซอร์วิส เซ็นเตอร์ จำกัด,1/102 ถนนปิ่นเกล้า-นครชัยศรี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,"002 Service centre Co., Ltd.","1/102 Pinklao-Nakornchaisri Road, Chimplee, Talingchan, Bangkok 10170",0 2880 8144,https://goo.gl/maps/J4hHVwuMRft,13.78249316,100.4516622
HONDA,บริษัท กัลปพฤกษ์ ฮอนด้า ออโตโมบิล จำกัด,9/9 หมู่ที่ 6 ถนนกัลปพฤกษ์ แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150,"Kalapapruk Honda Automobile Co., Ltd.","9/9 Moo 6 Kanlapaphruek Road, Bangkhunthian, Jomthong, Bangkok 10150",0 2454 5555,https://goo.gl/maps/6JqS6UdQE3A2,13.69933424,100.4412018
HONDA,บริษัท กาญจนาภิเษก ฮอนด้า ออโตโมบิล จำกัด,272 ถนนกาญจนาภิเษก แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,"Kanjanapisek Honda Automobile Co., Ltd.","272 Kanchanapisek Road, Shimplee, Talingchan, Bangkok 10170",0 2115 3000,https://goo.gl/maps/38YuczzF7542,13.79508254,100.4105528
HONDA,บริษัท กิจไพศาล ฮอนด้าคาร์ส์ จำกัด,129 หมู่ที่ 1 ถนนปิ่นเกล้า-นครชัยศรี สาย 5 ตำบลบางเตย อำเภอสามพราน จังหวัดนครปฐม 73210,"Kitpaisarn Honda Cars Co., Ltd.","129 Moo 1 Pinklao - Nakhonchaisi Road, Bangtoei, Samphran, Nakhonpathom 73210",0 2889 5225,https://goo.gl/maps/NfMXF6HJPy72,13.78728942,100.3007125
HONDA,บริษัท คลองหลวง ฮอนด้า ออโตโมบิล จำกัด,63 หมู่ที่ 7 ถนนคลองหลวง ตำบลคลองสอง อำเภอคลองหลวง จังหวัดปทุมธานี 12120,"Klongluang Honda Automobile Co., Ltd.","63 Moo 7 Klongluang Road, Klongsong, Klongluang, Pathumthani 12120",0 2524 2144,https://goo.gl/maps/qpPHmSPn3ru,14.06548284,100.6496944
HONDA,บริษัท ช.กรุ๊ป ฮอนด้า ออโตโมบิล จำกัด,99/469 หมู่ที่ 10 ถนนพหลโยธิน ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี 12120,"Chor Group Honda Automobile Co., Ltd.","99/469 Moo 10 Phaholyothin Road, Klong Neung, Klong Luang, Pathumthani 12120",0 2908 4030,https://goo.gl/maps/vtv4mXNj33G2,14.09148673,100.6189875
HONDA,บริษัท ซัมมิท ฮอนด้า ออโตโมบิล จำกัด (สาขา บางนา),929 ถนนเทพรัตน แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,"Summit Honda Automobile Co., Ltd. (Bangna Branch)","929 Debaratana Road, Bangna Nuea, Bangna, Bangkok 10260",1334,https://goo.gl/maps/8aRx1cJMsjkF3shS8,13.66525093,100.6495861
HONDA,บริษัท ซัมมิท ฮอนด้า ออโตโมบิล จำกัด (สาขา พัฒนาการ),88 ซอยพัฒนาการ 30 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,"Summit Honda Automobile Co., Ltd. (Phatthanakan Branch)","88 Phatthanakan Road, Suanluang, Suanluang, Bangkok 10250",0 2710 9999,https://goo.gl/maps/Eh1M1VmJWmr,13.73604363,100.6186023
HONDA,บริษัท ซัมมิท ฮอนด้า ออโตโมบิล จำกัด (สาขา หัวหมาก),825 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,"Summit Honda Automobile Co., Ltd. (Huamark)","825 Ramkhamhaeng Road, Hua Mak, Bang Kapi, Bangkok 10240",0 2732 2680,https://goo.gl/maps/xrVwhiQd4R92,13.76317678,100.6395082
HONDA,บริษัท ซัมมิท ฮอนด้า ออโตโมบิล จำกัด (สาขา อุดมสุข),530 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,"Summit Honda Automobile Co., Ltd. (Udom Suk)","530 Srinagarindra Road, Nong Bon, Prawet, Bangkok 10250",0 2398 8888,https://goo.gl/maps/93BKz5u39w32,13.67744932,100.6456527
HONDA,บริษัท ดุสิต ฮอนด้า ออโตโมบิล จำกัด,956/9 ถนนนครไชยศรี แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,"Dusit Honda Automobile Co., Ltd.","56/9 Nakhonchaisi Road, Thanonnakhonchaisi, Dusit, Bangkok 10300",0 2241 1122,https://goo.gl/maps/Hx43BwdePmp,13.7831241,100.5158379
HONDA,บริษัท ตลิ่งชัน ฮอนด้า ออโตโมบิล จำกัด,299 ถนนบรมราชชนนี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,"Talingchan Honda Automobile Co., Ltd.","299 Borommaratchachonnani Road, Chim Phli, Taling Chan, Bangkok 10170",0 2422 4477,https://goo.gl/maps/VdWv1bxsVyp,13.78198966,100.4176004
HONDA,บริษัท ธนบุรี ฮอนด้าคาร์ส์ จำกัด,4 ถนนกาญจนาภิเษก แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,"Thonburi Honda Cars Co., Ltd.","4 Kanchanaphisek Road, Bangkhae, Bangkhae, Bangkok 10160",0 2803 2223,https://goo.gl/maps/x3eD3MbHXb12,13.67794459,100.4073182
