Feature,Specification,
Variants,2.2 DDi Active AT; 2.2 DDi Elegant AT; 2.2 DDi Ultimate AT; 2.2 DDi RS AT; 2.2 DDi Ultimate 4WD AT; 3.0 DDi RS AT; 2.2 DDi RS 4WD AT; 3.0 DDi RS 4WD AT,
Prices (THB OTR),"2.2 DDi Active: 1,194,000; 2.2 DDi Elegant: 1,429,000; 2.2 DDi Ultimate: 1,554,000; 2.2 DDi RS: 1,624,000; 2.2 DDi Ultimate 4WD: 1,654,000; 3.0 DDi RS: 1,659,000; 2.2 DDi RS 4WD: 1,724,000; 3.0 DDi RS 4WD: 1,759,000",
Engine,"2.2L RZ4F or 3.0L 4JJ3-TCX Diesel, Ddi Blue Power, Direct Injection, Turbocharged, DOHC 16-valve",
Engine Displacement (cc),2164 (2.2L) or 2999 (3.0L),
Power,"161 hp at 3,600 rpm (2.2L); 188 hp at 3,600 rpm (3.0L)",
Torque,"400 Nm at 1,600-2,600 rpm (2.2L); 450 Nm at 1,600-2,600 rpm (3.0L)",
Transmission,8-speed Automatic with Sequential Shift,
Drive Options,"2WD (rear-wheel); 4WD (part-time, shift-on-the-fly with rear diff lock) available on RS/Ultimate 4WD variants",
Seating Capacity,7 seats,
"Dimensions (L x W x H, mm)","4,860 x 1,885 x 1,815",
Wheelbase (mm),2855,
Ground Clearance (mm),230,
Fuel Tank Capacity (L),80,
Wheels & Tyres,"17-inch alloy wheels, 255/65 R17 (Active/Elegant); 20-inch alloy wheels, 265/50 R20 (RS/Ultimate variants)",
Safety Features,"Up to 6 airbags; ABS with EBD; Electronic Stability Control; Traction Control; Hill-Start Assist; Hill Descent Control; Rear Parking Camera; Isuzu Advanced Driving Assist System (forward collision warning, lane departure warning) on higher trims",
In-Car Tech & Comfort,"8-inch touchscreen infotainment with Apple CarPlay & Android Auto, leather upholstery on upper trims, 8-way power driver seat, push-start, keyless entry, dual-zone climate control",
Additional Features,Cruise Control; Tyre Pressure Monitoring System; Multi-function Steering Wheel; Rear Differential Lock (4WD variants); Terrain Command 4WD selector (RS 4WD),
