Command Code,Action,Detail,Example
00000000,Change source,,
00000001,Change source to FM,,
00000002,Change source to AM,,
00000003,Change source to USB,,
00000004,Change source to CarPlay,,
00000005,Change source to Android Auto,,
00000006,Change source to WebLink,,
00000007,Change source to Bluetooth Audio,,
00010000,Volume up,,
00010001,Volume down,,
00020001,Tune to <frequency>,frequency,99.5
00030000,call <contacts>,contact name,James
00030001,call <phone_number>,phone number,0912345678
00040000,Show the setting,,
00040001,Show Bluetooth ,,
00040002,Show System setting,,
00040003,Show Wi-Fi setting,,
00040004,Show Display setting,,
00040005,Change Theme colour,,
00040006,Change wallpaper,,
00040007,Change Display Brightness+,,
00040008,Change Display Brightness-,,
00040009,Show Audio setting,,
00040010,Show Personal info setting,,
00040011,Show Vehicle Information setting,,
00040012,Show vehicle picture setting,,
00040013,Show Tire pressure setting,,
00040014,Tire pressure Status,,
00040015,Show Speed limit setting,,
00040016,Show Remaining distance setting,,
00040017,Remaining driving range,,
00040018,Show Service mileage setting,,
00040019,Vehicle color,,
00040020,Show Trip Information setting,,
00040021,SHOW Fuel Reminder SETTING,,
00040022,Show Sound tuning setting,,
00040023,Show PVM,,
00040024,Show NFC screen,,
00040025,Show QR code screen,,
00040026,Event surprise,,
00040027,Relax Mode,,
00040028,Battery level,,
00050000,Change bass tone levels+,,
00050001,Change bass tone levels-,,
00050002,Change treble tone levels+,,
00050003,Change treble tone levels-,,
00050004,Change auto sound levels,,
00050005,Change equalizer,,
00050006,SHOW Premium Sound SETTING,,
00050007,SHOW Effect SETTING,,
00050008,SHOW Speaker Level? SETTING,,
00050009,SHOW Time Delay? SETTING,,
00050010,SHOW Fader/Balance? SETTING,,
00060000,Show Air Con screen,,
00060001,Increase fan speed,,
00060002,Decrease fan speed,,
00060003,Turn on sync mode,,
00060004,Turn off sync mode,,
00060005,Turn on air conditioning,,
00060006,Turn off air conditioning,,
00060007,Increase temperature,,
00060008,Decrease temperature,,
00060009,Set temperature to <Preset temperature> degrees,temperature,22
00060010,Set temperature to maximum,,
00060011,Set temperature to minimum,,
00060012,Fan speed max,,
00060013,Fanspeed max,,
00060014,Fan speed min,,
00060015,Fanspeed min,,
00060016,Fan speed <fan speed>,fan speed,4
00060018,Tell PM2.5 status,,
